"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/aae906d9-0423-45d0-802e-1913411da4b8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","701","twitchgaming","274745085","20670","123325","13291","571240","304893","60314317","true","false","English","twitchgaming"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6c7c4ee8-d81f-4651-89ba-f5d349d0b4d9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","702","ElChiringuitoTV","274666530","65820","125239","4172","498231","488321","9700868","true","false","Spanish","ElChiringuitoTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/059dcbbc-bda1-452e-8560-eacaf6eb6291-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","703","MasterSnakou","274392510","127170","8377","2157","501498","44322","7773308","true","true","French","MasterSnakou"
"https://static-cdn.jtvnw.net/jtv_user_pictures/91f1172a-1c41-4c5b-a526-1bc16ce4cee5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","704","chessbrah","273999870","157080","8552","1744","254991","108181","25430250","true","false","English","chessbrah"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0b6a8c24-13b3-493e-8827-a6b6269bac4a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","705","OGADotaPIT","272797155","30885","78693","8832","229802","54739","15815661","true","false","English","OGADotaPIT"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6d9f42f0-94c3-4e29-a962-ab3076eb3126-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","706","KarmikKoala","272703930","113955","8754","2393","172065","11268","7988695","true","false","Russian","KarmikKoala"
"https://static-cdn.jtvnw.net/jtv_user_pictures/25831098-54c1-4af6-911e-91e58c3073ea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","707","연두는말안드뤄 (rudbeckia7)","272375910","117405","13047","2319","217830","4951","8549232","true","false","Korean","연두는말안드뤄 (rudbeckia7)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/21225f7a-c222-4fd9-8c46-1d252955e0e7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","708","Diables","272072190","101580","9135","2678","173508","125331","9791099","true","false","Polish","Diables"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f2e0b3f6-4cbf-426e-924d-c6d6c8dc994d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","709","LakshartNia","271638870","102570","42539","2648","1045042","627896","10821529","true","false","Spanish","LakshartNia"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ab7be94b-dd10-43ad-9a81-ef1b021fd2e1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","710","rhobalas_lol","271324890","138750","8955","1955","195190","77654","9023926","true","false","French","rhobalas_lol"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6039bdb5-ec38-43e4-bf31-b818553255e2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","711","jcorko_","270854025","75090","34875","3607","558715","332233","8882115","true","false","Spanish","jcorko_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ffa58902-3aad-4e82-82df-86cc3ec0c16b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","712","Bawkbasoup","269842305","135345","23018","1993","129051","28691","3289440","true","true","English","Bawkbasoup"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e4ddd5f7-8e84-4478-ad70-96f926f0a4e9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","713","Rumathra","269004555","159780","19028","1683","580688","220454","9765065","true","false","German","Rumathra"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f5287d16-d2c8-4a82-ad68-d621415d43f2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","714","Skyyart","268730475","149805","13686","1793","736164","100231","8773398","true","false","French","Skyyart"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0eff6c09-4661-4a1e-a2d3-ae1143105271-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","715","龜狗 (sweetcampercs)","268167045","120375","6928","2227","234255","62332","10607039","true","true","Chinese","龜狗 (sweetcampercs)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/50465d19-b4a1-463a-86af-72ebd40f2d2d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","716","Putupau","267917430","133395","21928","2008","209518","168073","4725715","true","false","Spanish","Putupau"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e037fe8a-34c0-4689-938d-9b4762738ce0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","717","Echo_Esports","267907740","23400","79624","11449","130942","99762","11300183","true","false","English","Echo_Esports"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3ce6ba9a-43cf-4611-8025-315a841cbeca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","718","TheRunningManZ","267898770","100575","5622","2663","220591","52977","3247791","true","false","English","TheRunningManZ"
"https://static-cdn.jtvnw.net/jtv_user_pictures/af481763-3f33-4d18-85c2-9b530b62f5d7-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","719","ReventXz","267133965","69210","30362","3859","821033","302716","12785406","true","false","Spanish","ReventXz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5be3842d-f7bd-4677-9519-6c5f94d3b081-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","720","Jacob4TV","266048580","66705","18476","3988","357439","285131","15032868","true","false","Polish","Jacob4TV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/02f9752b-833e-436d-b62b-34e7eb798261-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","721","JokerdTV","265687680","122655","38931","2166","207544","45320","7592639","true","true","English","JokerdTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/tiburciand0-profile_image-8bbc16bff8add7f0-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","722","tiburciand0","265463985","313335","7575","847","156699","90512","5271144","true","true","Portuguese","tiburciand0"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9eadac38-0198-4f09-96ae-bd27bb213b43-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","723","Jukeyz","265376985","170550","11065","1556","168310","95640","4426593","true","true","English","Jukeyz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b840f303-1c0b-461b-9a7b-6557b56d03c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","724","cidcidoso","265322430","56820","59729","4669","451661","245050","9427712","true","false","Portuguese","cidcidoso"
"https://static-cdn.jtvnw.net/jtv_user_pictures/10dfd28b-f448-4326-94db-02be1b275934-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","725","TrueGeordie","265147035","24120","47382","10992","250764","221077","16774027","true","false","English","TrueGeordie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c3978414-d288-4dad-822c-b0e7b7e2d399-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","726","AverageJonas","265017255","128610","14767","2060","566592","407864","12027088","true","false","English","AverageJonas"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f38489f0-64fe-4e1b-9d37-fbb77427f349-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","727","VERNI_SHAVERMY","264052200","86310","10113","3059","148853","28209","11175068","true","false","Russian","VERNI_SHAVERMY"
"https://static-cdn.jtvnw.net/jtv_user_pictures/sonycast_-profile_image-ebca8b2445bd0c66-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","728","소니쇼 (sonycast_)","263306850","102405","13156","2571","292586","28862","10793072","true","false","Korean","소니쇼 (sonycast_)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/068b4437-2146-44ab-98ed-d1bc02b85d60-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","729","Odablock","263006640","105930","49656","2482","205475","53055","4691855","true","false","English","Odablock"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5a74ee2b-fdc4-4e18-b571-9118ca5ecbff-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","730","bysTaXx","261952200","52200","77522","5018","1542092","355855","10420545","true","false","Spanish","bysTaXx"
"https://static-cdn.jtvnw.net/jtv_user_pictures/093f0ea6-7fc6-4af2-98d3-df2300c353f7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","731","Zoomaa","261698010","124770","19710","2097","197120","89890","4175211","true","false","English","Zoomaa"
